,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20,18.54819416999817,9.808011215771709,0.9655000686645507,0.05327238769257519,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",-0.5137230344626362,-0.5414402164097456,-0.5639106584632791,-0.561165167520442,-0.5461787412539498,-0.5452835636220106,0.017949003683874788,54
21,104.07271404266358,48.721340445681065,7.483695363998413,1.160713663949374,0.01,5,700,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 700}",-0.4880777968846207,-0.5162727957894127,-0.5302952587148579,-0.5311901551214083,-0.5252760088069772,-0.5182224030634555,0.015976032305933956,40
22,141.56986536979676,67.91578115478245,13.611827182769776,2.0693039636762305,0.01,5,1000,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000}",-0.48396416817219134,-0.5117053486985051,-0.5253562935181749,-0.5258624625208164,-0.5206154886329489,-0.5135007523085273,0.015618056769509085,37
23,167.86976494789124,82.52535692187293,15.56339979171753,2.235533183585151,0.01,5,1200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1200}",-0.48219879248583136,-0.5095455480654195,-0.5230301419011477,-0.5232711839382206,-0.5185514962183483,-0.5113194325217935,0.015384707755218708,34
24,26.8238618850708,12.156387725635112,1.646878147125244,0.07011038553015173,0.01,8,100,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 100}",-0.505063290511581,-0.530477483016793,-0.5524357095584673,-0.5532613300961694,-0.5390870334633816,-0.5360649693292785,0.01769278340858307,49
25,150.8899033546448,67.81835871961911,22.07072296142578,2.0134184418842405,0.01,8,700,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 700}",-0.47363248648852513,-0.4980067190927322,-0.515228086988597,-0.5172260394530334,-0.5114588110483811,-0.5031104286142537,0.01619123544355702,27
26,209.80248732566832,99.30745455400977,32.56159000396728,2.5550310515001176,0.01,8,1000,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 1000}",-0.4689729182659773,-0.49356987828162274,-0.5105445887437605,-0.5107743047524351,-0.506377477083813,-0.4980478334255217,0.015829830720498983,20
27,238.08616771698,111.2480716683263,38.89181952476501,1.0845856962269966,0.01,8,1200,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 1200}",-0.46711367150144667,-0.49167521679724957,-0.5088023032323282,-0.5080508870518312,-0.5043747522890358,-0.49600336617437824,0.01569957317835528,18
28,33.73344759941101,15.702509465631998,2.4372735023498535,0.23639254874960722,0.01,10,100,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",-0.5013592950673763,-0.5253718640977416,-0.546603706776175,-0.5481583124158816,-0.534858010616625,-0.5312702377947598,0.01710350698742458,46
29,195.1619836807251,86.54674982075065,34.99955310821533,1.5431661721225993,0.01,10,700,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 700}",-0.46804309456498333,-0.4906506826240242,-0.5088156584586023,-0.5091190836511685,-0.5049461596137829,-0.4963149357825123,0.015659457618736546,19
30,266.51103167533876,114.25874114371432,51.68806400299072,1.9863821888361397,0.01,10,1000,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1000}",-0.4653452313546552,-0.4877315083756161,-0.5056992035969438,-0.5048144221223254,-0.5013122483567464,-0.4929805227612574,0.015247853297005171,12
31,328.2298756122589,141.2001610133004,65.1606568813324,2.718461121795275,0.01,10,1200,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1200}",-0.4642829411588796,-0.4865835489195123,-0.5043924336325617,-0.5030527360196647,-0.49983607954573067,-0.4916295478552698,0.015060057414609222,4
32,14.576096153259277,7.0628176064288715,0.6802840232849121,0.052247098198941126,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",-0.4962713131948933,-0.523917426288783,-0.538685940093338,-0.540247979141285,-0.5322696478979846,-0.5262784613232567,0.016068545044919173,42
33,73.60780396461487,34.38129471011473,3.676363801956177,0.319446313670241,0.1,3,700,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 700}",-0.4799100540672757,-0.5062576405983032,-0.5197016995405841,-0.5174045508876216,-0.5126412171012869,-0.5071830324390143,0.014392080770526462,31
34,103.75594878196716,48.814390140291714,5.123891830444336,0.42511373128084073,0.1,3,1000,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000}",-0.4771995591078282,-0.5032820000813744,-0.5173600559263248,-0.5142082703543254,-0.509847782765608,-0.5043795336470922,0.014387184354187127,29
35,123.31153531074524,59.73910789974257,6.909555959701538,0.5825016597021689,0.1,3,1200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1200}",-0.47652000025625746,-0.5019649666215303,-0.5163728755262764,-0.5126309998518117,-0.5087023629969022,-0.5032382410505557,0.014185096321616018,28
